"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US26021011000","Census Tract 110, Berrien County, Michigan","2757","25"
"1400000US26021011100","Census Tract 111, Berrien County, Michigan","5536","305"
"1400000US26021011200","Census Tract 112, Berrien County, Michigan","3091","15"
"1400000US26021011300","Census Tract 113, Berrien County, Michigan","4032","284"
"1400000US26021011400","Census Tract 114, Berrien County, Michigan","2427","147"
"1400000US26021011500","Census Tract 115, Berrien County, Michigan","1454","94"
"1400000US26021011600","Census Tract 116, Berrien County, Michigan","1854","139"
"1400000US26021020100","Census Tract 201, Berrien County, Michigan","2440","203"
"1400000US26021020200","Census Tract 202, Berrien County, Michigan","5370","203"
"1400000US26021020300","Census Tract 203, Berrien County, Michigan","2613","20"
"1400000US26021020400","Census Tract 204, Berrien County, Michigan","3899","276"
"1400000US26021020500","Census Tract 205, Berrien County, Michigan","3273","323"
"1400000US26021020600","Census Tract 206, Berrien County, Michigan","3248","254"
"1400000US26021020700","Census Tract 207, Berrien County, Michigan","2781","303"
"1400000US26021020900","Census Tract 209, Berrien County, Michigan","3086","229"
"1400000US26021021000","Census Tract 210, Berrien County, Michigan","5248","419"
"1400000US26021021100","Census Tract 211, Berrien County, Michigan","1904","200"
"1400000US26021021200","Census Tract 212, Berrien County, Michigan","1652","171"
"1400000US26021021300","Census Tract 213, Berrien County, Michigan","4638","298"
"1400000US26021021400","Census Tract 214, Berrien County, Michigan","4350","287"
"1400000US26021990000","Census Tract 9900, Berrien County, Michigan","0","10"
"1400000US26023950100","Census Tract 9501, Branch County, Michigan","3801","174"
"1400000US26023950200","Census Tract 9502, Branch County, Michigan","3834","276"
"1400000US26023950300","Census Tract 9503, Branch County, Michigan","3695","230"
"1400000US26023950800","Census Tract 9508, Branch County, Michigan","4558","415"
