"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"        2 bedrooms","10,209","±1,425","19.6%","±2.7","11,305","±1,624","23.4%","±3.4","19,447","±1,943","25.0%","±2.5","16,604","±1,725","27.3%","±2.8","5,572","±894","17.3%","±2.8","12,085","±1,343","25.3%","±2.8","52,582","±2,891","27.3%","±1.5","11,791","±1,601","26.1%","±3.6","38,208","±2,612","30.7%","±2.1","8,005","±810","27.3%","±2.7","17,594","±1,861","25.2%","±2.7","31,608","±2,524","28.0%","±2.3","63,204","±3,560","24.4%","±1.4","6,876","±1,271","18.6%","±3.4","8,238","±1,255","18.7%","±2.8","12,352","±1,299","15.9%","±1.7","86,689","±4,096","23.5%","±1.1","9,629","±1,218","27.5%","±3.5","7,583","±1,088","20.4%","±2.9","10,827","±1,571","16.6%","±2.4","21,718","±2,098","29.2%","±2.8","125,972","±4,887","23.1%","±0.9","26,303","±2,624","23.5%","±2.3","22,785","±2,298","25.9%","±2.6","15,924","±1,872","21.9%","±2.6","5,951","±1,045","19.7%","±3.4","9,563","±1,177","25.5%","±3.1","40,328","±3,269","26.5%","±2.1","198,313","±6,009","24.3%","±0.7"
"        3 bedrooms","26,148","±1,795","50.3%","±3.4","23,282","±1,516","48.1%","±3.1","34,487","±2,164","44.3%","±2.8","27,728","±1,703","45.5%","±2.9","15,408","±1,342","47.9%","±4.2","20,639","±1,553","43.2%","±3.2","90,649","±3,659","47.0%","±1.9","19,340","±1,934","42.9%","±4.3","45,942","±2,278","36.9%","±1.8","12,698","±896","43.3%","±3.0","30,680","±2,232","43.9%","±3.1","37,778","±2,430","33.4%","±2.1","98,168","±4,171","37.8%","±1.6","21,109","±1,238","57.1%","±3.4","23,916","±1,823","54.4%","±4.1","35,744","±1,934","46.0%","±2.4","182,928","±5,155","49.5%","±1.4","13,109","±1,040","37.5%","±3.0","18,847","±1,305","50.7%","±3.5","34,527","±2,170","52.9%","±3.4","33,368","±1,942","44.8%","±2.6","218,719","±5,353","40.2%","±1.0","42,863","±2,798","38.3%","±2.5","42,419","±2,396","48.2%","±2.7","38,581","±1,856","53.2%","±2.5","15,808","±1,224","52.2%","±4.1","15,423","±1,411","41.1%","±3.8","51,196","±2,848","33.6%","±1.9","381,998","±6,786","46.8%","±0.8"
"        4 bedrooms","9,887","±1,484","19.0%","±2.8","6,601","±1,121","13.6%","±2.3","12,655","±1,566","16.2%","±2.0","7,468","±1,034","12.3%","±1.7","7,627","±1,017","23.7%","±3.1","7,358","±1,047","15.4%","±2.2","27,759","±2,209","14.4%","±1.1","7,228","±1,334","16.0%","±2.9","18,504","±1,859","14.9%","±1.5","4,738","±752","16.2%","±2.6","10,269","±1,275","14.7%","±1.8","19,532","±2,082","17.3%","±1.8","51,879","±3,528","20.0%","±1.4","5,733","±944","15.5%","±2.6","7,271","±1,043","16.5%","±2.4","21,615","±1,532","27.8%","±2.0","57,994","±3,276","15.7%","±0.9","4,486","±871","12.8%","±2.5","5,956","±913","16.0%","±2.5","11,749","±1,425","18.0%","±2.2","11,366","±1,681","15.3%","±2.3","122,505","±4,052","22.5%","±0.7","26,875","±2,125","24.0%","±1.9","12,446","±1,642","14.1%","±1.9","10,457","±1,291","14.4%","±1.8","5,313","±869","17.6%","±2.9","6,472","±1,147","17.2%","±3.0","30,752","±2,370","20.2%","±1.5","114,716","±4,836","14.1%","±0.6"
"        5 or more bedrooms","2,906","±743","5.6%","±1.4","1,707","±610","3.5%","±1.3","4,032","±942","5.2%","±1.2","2,142","±582","3.5%","±1.0","2,205","±521","6.9%","±1.6","2,473","±642","5.2%","±1.3","4,702","±1,066","2.4%","±0.6","2,537","±819","5.6%","±1.8","3,769","±647","3.0%","±0.5","1,386","±418","4.7%","±1.4","3,232","±839","4.6%","±1.2","5,322","±1,101","4.7%","±1.0","16,280","±1,660","6.3%","±0.6","1,495","±416","4.0%","±1.1","1,124","±394","2.6%","±0.9","4,199","±891","5.4%","±1.1","8,020","±1,451","2.2%","±0.4","1,058","±323","3.0%","±0.9","1,941","±647","5.2%","±1.7","2,374","±842","3.6%","±1.3","1,834","±630","2.5%","±0.8","21,701","±2,329","4.0%","±0.4","9,068","±1,361","8.1%","±1.2","2,270","±615","2.6%","±0.7","2,220","±606","3.1%","±0.8","654","±269","2.2%","±0.9","2,222","±726","5.9%","±1.9","9,091","±1,247","6.0%","±0.8","23,380","±2,160","2.9%","±0.3"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","44,887","±1,117","44,887","(X)","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","44,420","±1,034","44,420","(X)","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","24,690","±969","24,690","(X)","61,403","±1,713","61,403","(X)","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","38,499","±1,322","38,499","(X)","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","27,981","±1,092","27,981","(X)","34,350","±934","34,350","(X)","60,875","±1,293","60,875","(X)","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","26,830","±976","26,830","(X)","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        Owner-occupied","35,010","±1,569","80.2%","±2.9","33,331","±1,476","74.3%","±2.9","45,701","±1,754","73.9%","±2.7","39,408","±1,623","73.2%","±2.4","25,143","±829","83.6%","±2.4","31,335","±1,362","70.5%","±3.0","118,446","±2,770","70.0%","±1.7","28,041","±1,665","75.0%","±3.1","68,782","±2,134","60.1%","±1.8","15,882","±817","64.3%","±2.9","45,588","±2,070","74.2%","±2.6","63,591","±2,344","61.6%","±2.1","171,100","±3,505","69.7%","±1.4","28,755","±1,204","84.8%","±2.3","28,848","±1,419","74.9%","±3.1","62,508","±1,617","85.0%","±1.7","260,793","±4,711","74.2%","±1.2","20,142","±1,017","72.0%","±3.7","27,890","±1,107","81.2%","±2.8","47,513","±1,774","78.1%","±2.8","49,079","±2,198","74.2%","±2.6","364,316","±5,920","71.7%","±1.1","79,453","±2,333","75.7%","±1.9","56,980","±2,126","72.1%","±2.4","50,568","±1,891","79.3%","±2.0","20,088","±986","74.9%","±3.8","23,665","±1,429","76.4%","±4.1","88,532","±2,629","62.5%","±1.8","430,920","±6,367","62.5%","±0.9"
"        Renter-occupied","8,657","±1,329","19.8%","±2.9","11,556","±1,331","25.7%","±2.9","16,108","±1,953","26.1%","±2.7","14,419","±1,497","26.8%","±2.4","4,927","±739","16.4%","±2.4","13,085","±1,428","29.5%","±3.0","50,801","±3,192","30.0%","±1.7","9,367","±1,350","25.0%","±3.1","45,752","±2,351","39.9%","±1.8","8,808","±864","35.7%","±2.9","15,815","±1,667","25.8%","±2.6","39,605","±2,337","38.4%","±2.1","74,337","±3,730","30.3%","±1.4","5,147","±798","15.2%","±2.3","9,651","±1,287","25.1%","±3.1","10,994","±1,282","15.0%","±1.7","90,873","±4,226","25.8%","±1.2","7,839","±1,206","28.0%","±3.7","6,460","±1,001","18.8%","±2.8","13,362","±1,769","21.9%","±2.8","17,069","±1,757","25.8%","±2.6","144,148","±5,615","28.3%","±1.1","25,551","±1,981","24.3%","±1.9","22,070","±2,143","27.9%","±2.4","13,238","±1,316","20.7%","±2.0","6,742","±1,139","25.1%","±3.8","7,309","±1,357","23.6%","±4.1","53,148","±2,808","37.5%","±1.8","258,350","±7,305","37.5%","±0.9"
"        Average household size of owner-occupied unit","2.73","±0.12","(X)","(X)","2.31","±0.10","(X)","(X)","2.47","±0.10","(X)","(X)","2.51","±0.11","(X)","(X)","2.64","±0.07","(X)","(X)","2.60","±0.09","(X)","(X)","2.42","±0.05","(X)","(X)","2.57","±0.14","(X)","(X)","2.46","±0.07","(X)","(X)","2.62","±0.12","(X)","(X)","2.61","±0.09","(X)","(X)","2.73","±0.09","(X)","(X)","2.77","±0.05","(X)","(X)","2.59","±0.08","(X)","(X)","2.46","±0.12","(X)","(X)","2.70","±0.06","(X)","(X)","2.56","±0.03","(X)","(X)","2.43","±0.09","(X)","(X)","2.47","±0.09","(X)","(X)","2.54","±0.07","(X)","(X)","2.63","±0.09","(X)","(X)","2.62","±0.03","(X)","(X)","2.83","±0.05","(X)","(X)","2.34","±0.07","(X)","(X)","2.52","±0.09","(X)","(X)","2.71","±0.11","(X)","(X)","2.51","±0.12","(X)","(X)","2.56","±0.06","(X)","(X)","2.63","±0.03","(X)","(X)"
"        Average household size of renter-occupied unit","2.44","±0.33","(X)","(X)","2.14","±0.19","(X)","(X)","2.31","±0.23","(X)","(X)","2.17","±0.19","(X)","(X)","2.52","±0.29","(X)","(X)","2.05","±0.16","(X)","(X)","2.25","±0.11","(X)","(X)","2.04","±0.20","(X)","(X)","2.28","±0.12","(X)","(X)","2.53","±0.22","(X)","(X)","1.90","±0.14","(X)","(X)","2.12","±0.13","(X)","(X)","2.32","±0.10","(X)","(X)","2.19","±0.24","(X)","(X)","2.29","±0.25","(X)","(X)","2.02","±0.17","(X)","(X)","2.18","±0.07","(X)","(X)","1.86","±0.18","(X)","(X)","2.01","±0.20","(X)","(X)","2.12","±0.15","(X)","(X)","2.27","±0.17","(X)","(X)","2.03","±0.06","(X)","(X)","2.24","±0.15","(X)","(X)","2.28","±0.15","(X)","(X)","2.26","±0.17","(X)","(X)","1.91","±0.20","(X)","(X)","2.01","±0.20","(X)","(X)","2.24","±0.10","(X)","(X)","2.31","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","44,887","±1,117","44,887","(X)","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","44,420","±1,034","44,420","(X)","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","24,690","±969","24,690","(X)","61,403","±1,713","61,403","(X)","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","38,499","±1,322","38,499","(X)","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","27,981","±1,092","27,981","(X)","34,350","±934","34,350","(X)","60,875","±1,293","60,875","(X)","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","26,830","±976","26,830","(X)","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        Moved in 2017 or later","8,378","±1,396","19.2%","±3.0","10,597","±1,447","23.6%","±3.1","14,093","±1,800","22.8%","±2.6","13,691","±1,577","25.4%","±2.6","6,351","±955","21.1%","±3.1","11,438","±1,354","25.7%","±2.9","42,418","±2,912","25.1%","±1.6","9,985","±1,653","26.7%","±3.9","39,529","±2,866","34.5%","±2.3","8,791","±976","35.6%","±3.3","13,782","±1,823","22.4%","±2.7","36,592","±2,742","35.5%","±2.5","71,730","±3,612","29.2%","±1.4","6,867","±1,058","20.3%","±3.0","7,082","±1,178","18.4%","±2.8","15,479","±1,388","21.1%","±1.9","86,638","±4,578","24.6%","±1.3","7,824","±1,106","28.0%","±3.5","9,430","±1,063","27.5%","±2.9","13,389","±1,813","22.0%","±2.8","17,034","±1,892","25.8%","±2.6","129,138","±4,967","25.4%","±0.9","25,376","±2,244","24.2%","±2.1","16,750","±1,587","21.2%","±1.8","12,282","±1,372","19.2%","±2.0","5,330","±1,232","19.9%","±4.3","6,943","±1,179","22.4%","±3.4","48,562","±2,346","34.3%","±1.5","179,875","±5,702","26.1%","±0.8"
"        Moved in 2015 to 2016","6,355","±1,051","14.6%","±2.4","5,137","±1,065","11.4%","±2.4","7,973","±1,447","12.9%","±2.3","6,822","±1,079","12.7%","±1.9","3,269","±741","10.9%","±2.4","5,122","±913","11.5%","±2.0","19,341","±2,031","11.4%","±1.2","4,584","±1,187","12.3%","±3.0","13,683","±1,972","11.9%","±1.7","2,320","±449","9.4%","±1.8","7,888","±1,360","12.8%","±2.2","12,967","±1,719","12.6%","±1.6","36,009","±3,020","14.7%","±1.2","3,131","±717","9.2%","±2.1","5,086","±1,169","13.2%","±3.1","8,972","±1,165","12.2%","±1.5","42,180","±3,578","12.0%","±1.0","3,076","±830","11.0%","±2.9","3,057","±750","8.9%","±2.2","6,077","±1,264","10.0%","±2.1","8,167","±1,429","12.3%","±2.1","63,650","±3,841","12.5%","±0.8","14,797","±1,779","14.1%","±1.7","9,268","±1,152","11.7%","±1.4","6,878","±1,174","10.8%","±1.8","3,031","±683","11.3%","±2.4","2,546","±691","8.2%","±2.2","15,738","±1,697","11.1%","±1.2","86,468","±3,881","12.5%","±0.5"
"        Moved in 2010 to 2014","8,422","±1,377","19.3%","±3.1","5,573","±958","12.4%","±2.1","10,384","±1,341","16.8%","±2.2","7,869","±1,004","14.6%","±1.8","4,407","±842","14.7%","±2.7","7,862","±1,121","17.7%","±2.5","30,573","±2,671","18.1%","±1.6","6,307","±1,139","16.9%","±3.0","17,379","±1,775","15.2%","±1.5","3,531","±575","14.3%","±2.4","9,421","±1,618","15.3%","±2.6","15,182","±1,921","14.7%","±1.9","42,037","±3,530","17.1%","±1.4","6,260","±1,081","18.5%","±3.3","6,964","±1,095","18.1%","±2.8","12,565","±1,239","17.1%","±1.6","59,192","±3,417","16.8%","±1.0","3,607","±723","12.9%","±2.5","5,499","±926","16.0%","±2.7","9,497","±1,412","15.6%","±2.3","10,549","±1,554","15.9%","±2.4","89,772","±3,780","17.7%","±0.7","18,793","±2,061","17.9%","±1.9","12,235","±1,467","15.5%","±1.8","11,126","±1,311","17.4%","±2.0","3,953","±729","14.7%","±2.8","5,192","±977","16.8%","±3.2","20,762","±1,839","14.7%","±1.2","120,073","±5,029","17.4%","±0.7"
"        Moved in 2000 to 2009","7,790","±1,051","17.8%","±2.4","8,429","±1,316","18.8%","±2.9","11,971","±1,177","19.4%","±1.8","9,717","±1,213","18.1%","±2.3","6,420","±882","21.4%","±3.1","7,375","±1,073","16.6%","±2.4","33,326","±2,695","19.7%","±1.6","7,547","±1,159","20.2%","±2.9","18,684","±1,800","16.3%","±1.6","4,187","±691","17.0%","±2.7","12,513","±1,683","20.4%","±2.8","17,871","±1,785","17.3%","±1.7","42,064","±3,059","17.1%","±1.3","6,431","±1,080","19.0%","±3.0","8,550","±1,229","22.2%","±3.1","16,356","±1,475","22.3%","±2.0","69,333","±3,755","19.7%","±1.1","4,896","±844","17.5%","±2.9","6,466","±1,054","18.8%","±3.0","13,500","±1,631","22.2%","±2.7","12,662","±1,615","19.1%","±2.5","95,196","±3,943","18.7%","±0.8","21,692","±1,948","20.7%","±1.9","14,942","±1,403","18.9%","±1.8","13,455","±1,298","21.1%","±2.0","5,885","±870","21.9%","±3.2","6,428","±1,058","20.8%","±3.3","25,169","±1,766","17.8%","±1.3","119,899","±4,419","17.4%","±0.6"
"        Moved in 1990 to 1999","6,025","±970","13.8%","±2.2","6,344","±1,019","14.1%","±2.2","7,011","±887","11.3%","±1.5","6,830","±924","12.7%","±1.7","4,557","±719","15.2%","±2.4","5,786","±937","13.0%","±2.1","18,295","±1,876","10.8%","±1.1","5,182","±871","13.9%","±2.3","11,468","±1,445","10.0%","±1.3","3,062","±534","12.4%","±2.2","8,522","±1,270","13.9%","±2.1","9,850","±1,376","9.5%","±1.3","27,865","±2,236","11.4%","±0.9","5,917","±1,011","17.5%","±2.9","5,103","±772","13.3%","±2.0","11,618","±1,187","15.8%","±1.7","48,921","±2,785","13.9%","±0.8","3,663","±659","13.1%","±2.5","4,395","±816","12.8%","±2.3","8,330","±1,145","13.7%","±1.9","8,571","±1,290","13.0%","±1.9","66,026","±3,159","13.0%","±0.6","12,666","±1,207","12.1%","±1.1","11,065","±1,215","14.0%","±1.6","10,120","±1,096","15.9%","±1.8","3,757","±637","14.0%","±2.4","5,407","±835","17.5%","±2.6","16,619","±1,732","11.7%","±1.2","72,917","±3,693","10.6%","±0.5"
"        Moved in 1989 and earlier","6,697","±873","15.3%","±2.0","8,807","±1,020","19.6%","±2.3","10,377","±1,067","16.8%","±1.7","8,898","±980","16.5%","±1.9","5,066","±694","16.8%","±2.2","6,837","±1,021","15.4%","±2.3","25,294","±1,698","14.9%","±1.0","3,803","±832","10.2%","±2.3","13,791","±1,255","12.0%","±1.1","2,799","±477","11.3%","±1.9","9,277","±1,290","15.1%","±2.1","10,734","±1,516","10.4%","±1.5","25,732","±2,027","10.5%","±0.8","5,296","±882","15.6%","±2.6","5,714","±925","14.8%","±2.4","8,512","±1,073","11.6%","±1.4","45,402","±3,030","12.9%","±0.9","4,915","±780","17.6%","±2.8","5,503","±738","16.0%","±2.0","10,082","±1,076","16.6%","±1.8","9,165","±1,008","13.9%","±1.5","64,682","±2,702","12.7%","±0.6","11,680","±1,397","11.1%","±1.3","14,790","±1,354","18.7%","±1.7","9,945","±1,056","15.6%","±1.6","4,874","±678","18.2%","±2.6","4,458","±659","14.4%","±2.1","14,830","±1,405","10.5%","±1.0","110,038","±3,839","16.0%","±0.6"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","44,887","±1,117","44,887","(X)","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","44,420","±1,034","44,420","(X)","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","24,690","±969","24,690","(X)","61,403","±1,713","61,403","(X)","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","38,499","±1,322","38,499","(X)","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","27,981","±1,092","27,981","(X)","34,350","±934","34,350","(X)","60,875","±1,293","60,875","(X)","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","26,830","±976","26,830","(X)","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        No vehicles available","1,633","±721","3.7%","±1.6","2,399","±818","5.3%","±1.8","4,663","±984","7.5%","±1.6","4,839","±961","9.0%","±1.8","858","±347","2.9%","±1.1","1,198","±501","2.7%","±1.1","16,497","±2,127","9.7%","±1.2","2,235","±787","6.0%","±2.2","8,689","±1,651","7.6%","±1.4","2,333","±526","9.4%","±2.2","4,471","±885","7.3%","±1.4","7,091","±1,390","6.9%","±1.3","17,189","±2,308","7.0%","±0.9","1,218","±423","3.6%","±1.3","1,857","±599","4.8%","±1.5","1,890","±568","2.6%","±0.8","19,324","±1,897","5.5%","±0.5","1,882","±588","6.7%","±2.0","1,848","±710","5.4%","±2.1","3,811","±989","6.3%","±1.6","6,556","±1,265","9.9%","±1.9","27,660","±2,381","5.4%","±0.5","4,675","±1,201","4.5%","±1.1","5,809","±1,061","7.3%","±1.3","3,817","±1,060","6.0%","±1.6","2,243","±666","8.4%","±2.5","1,728","±574","5.6%","±1.8","9,842","±1,682","6.9%","±1.2","89,869","±4,512","13.0%","±0.7"
"        1 vehicle available","11,585","±1,562","26.5%","±3.4","16,958","±1,687","37.8%","±3.5","22,793","±1,848","36.9%","±2.7","18,788","±1,659","34.9%","±2.9","7,599","±1,097","25.3%","±3.5","16,727","±1,361","37.7%","±3.0","60,018","±3,752","35.5%","±2.0","11,012","±1,424","29.4%","±3.6","49,544","±2,559","43.3%","±2.1","7,265","±957","29.4%","±3.6","21,460","±1,801","34.9%","±2.9","36,109","±2,886","35.0%","±2.7","75,422","±3,826","30.7%","±1.5","8,331","±867","24.6%","±2.4","13,302","±1,540","34.6%","±3.7","16,623","±1,485","22.6%","±2.0","127,045","±4,959","36.1%","±1.4","8,483","±1,089","30.3%","±3.6","9,589","±1,179","27.9%","±3.3","17,643","±1,522","29.0%","±2.4","22,563","±2,037","34.1%","±2.9","169,405","±4,351","33.3%","±0.9","30,004","±2,690","28.6%","±2.5","28,340","±2,317","35.9%","±2.8","18,883","±1,887","29.6%","±2.9","7,979","±951","29.7%","±3.3","9,891","±1,410","31.9%","±4.3","51,571","±2,898","36.4%","±1.9","280,714","±7,845","40.7%","±1.0"
"        2 vehicles available","19,431","±1,741","44.5%","±3.7","17,447","±1,749","38.9%","±3.8","23,141","±1,716","37.4%","±2.4","18,191","±1,631","33.8%","±2.7","13,662","±1,285","45.4%","±4.3","17,414","±1,390","39.2%","±3.0","60,221","±3,025","35.6%","±1.8","16,031","±1,798","42.9%","±3.9","38,843","±2,352","33.9%","±2.1","9,974","±1,030","40.4%","±3.8","22,513","±1,745","36.7%","±2.5","40,940","±2,769","39.7%","±2.5","101,098","±4,435","41.2%","±1.7","13,857","±1,297","40.9%","±3.6","15,589","±1,441","40.5%","±3.6","31,480","±1,878","42.8%","±2.5","133,003","±5,218","37.8%","±1.4","12,517","±1,134","44.7%","±4.0","15,585","±1,399","45.4%","±3.8","22,831","±1,734","37.5%","±2.8","24,078","±2,128","36.4%","±3.0","206,475","±5,489","40.6%","±1.0","46,084","±2,692","43.9%","±2.5","29,352","±2,188","37.1%","±2.6","23,957","±1,796","37.5%","±2.7","9,520","±1,093","35.5%","±3.8","11,983","±1,336","38.7%","±4.0","54,057","±2,487","38.2%","±1.7","216,733","±6,749","31.4%","±1.0"
"        3 or more vehicles available","11,018","±1,392","25.2%","±3.1","8,083","±1,046","18.0%","±2.4","11,212","±1,136","18.1%","±1.8","12,009","±1,388","22.3%","±2.4","7,951","±908","26.4%","±2.9","9,081","±903","20.4%","±2.0","32,511","±2,170","19.2%","±1.3","8,130","±1,124","21.7%","±2.7","17,458","±1,730","15.2%","±1.5","5,118","±747","20.7%","±2.9","12,959","±1,375","21.1%","±2.3","19,056","±1,979","18.5%","±1.9","51,728","±3,271","21.1%","±1.3","10,496","±1,081","31.0%","±3.1","7,751","±1,005","20.1%","±2.5","23,509","±1,771","32.0%","±2.3","72,294","±3,536","20.6%","±1.0","5,099","±785","18.2%","±2.7","7,328","±951","21.3%","±2.8","16,590","±1,443","27.3%","±2.4","12,951","±1,404","19.6%","±2.1","104,924","±4,473","20.6%","±0.9","24,241","±2,048","23.1%","±1.9","15,549","±1,608","19.7%","±1.9","17,149","±1,598","26.9%","±2.3","7,088","±910","26.4%","±3.4","7,372","±1,112","23.8%","±3.5","26,210","±1,761","18.5%","±1.2","101,954","±4,238","14.8%","±0.6"
